names,coefficients
Intercept,-0.5794034392251046
lose,0.037185510575033325
haha,-0.07720435281115375
feel,0.6283799817455369
hug,0.29460962264191876
blog,-0.11714754798123206
tired,0.7229043994689561
feelings,0.5941741723771446
nobody,0.5558564556088907
people,0.3957179747386973
isn,0.15066060521629385
cares,0.22174361876644155
scared,0.4255644142527955
she,0.09677810452744431
give,0.3020255328363532
amazing,-0.41177510453619587
stupid,0.08797785628580355
weight,0.5080046049326752
shit,0.9476720398083023
now,-0.06442976681172471
you,0.3539081283861943
comments,-0.11775058029152762
at,-0.021674165730115463
never,0.5177508708751314
christmas,-0.47074096174189567
playlist,-0.40926820518097773
class,-0.18764199141301635
because,0.11355838346574001
again,0.09864732297814824
http,0.004056592649794834
wanna,0.004895869540739842
thoughts,0.06163758376281725
broken,0.669163586739448
disappointment,0.9888667319434603
closet,-0.020867450354966274
if,0.040182666885666844
person,0.30555632041106506
summer,-0.5513385015385861
ily,-0.17243464806616146
ya,-0.16858576119884647
depression,1.346171293982922
eat,0.21516426252917994
snapchat,-0.3479086130149038
post,-0.0848189901020663
season,-0.2133739758049327
breaking,0.02650734176085774
pain,1.3985372487323582
love,-0.15613910957168753
words,0.04119919530375984
talk,0.0877381610406171
worse,0.8389759798606143
ignore,0.10083074097765392
yes,-0.21356050113907762
watching,-0.23470681179513986
me,0.09453954820669673
dont,0.09849511901130471
suicide,0.5761310008434707
thanks,-0.4561683112902705
routine,-0.34416471517663594
starbucks,-0.21107150408534472
pic,-0.035690232735819505
gonna,0.13962513297473983
yay,-0.06160025646239844
added,-0.04716213559655915
depressed,0.9717193385750301
ready,-0.24027189221395404
excited,-0.3212549205297277
dance,-0.04199032255306937
stay,0.1234844822933446
cry,0.24168656395117136
jackson,-0.029759887244705054
something,0.04420733986174115
productive,-0.06144641589574484
nothing,0.6254658628630227
next,-0.15487687913541723
even,0.04596145591807762
fear,0.28834408582090254
death,1.1397084866137577
today,-0.2403992536454817
coffee,-0.22905353644706045
fat,1.3385512650247
weekend,-0.1480028116851057
someone,0.49019674301357663
illness,0.31363673453972574
always,0.18680248025338533
wrong,0.20450380972410992
subscribers,-0.2588632265133436
your,0.04162402276171141
college,-0.6531521551891897
still,0.028571580262012633
got,-0.03554659180239539
new,-1.0291333806020568
happiness,0.926700240077099
tears,0.8230001686247733
truth,0.2644805448909699
understand,0.34834300088132814
lost,0.19276635273614964
photo,-0.1582418953111222
in,-0.0029182435843201023
hahaha,-0.15686549253850465
vlogmas,-0.48045790844808955
kill,0.42002701446912094
miserable,0.6520792587865207
channel,-0.35011054017084503
everything,0.5392538267423671
used,0.010613487338355631
worst,0.2868682676108481
girl,-0.06678928166333949
anxiety,0.38821856019806994
filming,-0.42314811174010686
die,1.0793817409697515
lonely,0.7633881115221705
why,0.06829060908290001
bitch,0.3610068763738455
failure,0.830507777079628
morning,-0.046691813528596374
wait,-0.42583473648839665
falling,0.19339041846880292
body,0.1129105685928982
drive,-0.1767823032581332
literally,-0.1965853956543663
deserve,0.08161783574029377
not,0.22755899120884596
myself,0.792347313282937
ugly,0.258777149197658
lie,0.3130957066511346
alone,1.0156009512343116
sunday,-0.03529611561762282
lol,-0.7923002846014333
being,0.06510920253822552
landon,-0.024713023709399335
that,0.0868048203108721
end,0.18205120155434484
but,0.21924475695023088
hurts,0.4645199935871112
lies,0.22713860357117546
babe,-0.13294333588642965
sending,-0.05540184028944026
on,-0.2892839142678623
angies_diary,-0.18910677142772953
account,0.12278051438351362
apart,0.42703294042007545
thank,-0.4319090998813113
instagram,-0.46307138860506075
guys,-0.5513753723063927
mental,0.3166030901043264
giveaway,-0.06853894376300472
check,-0.164342325342627
they,0.19422253789128546
won,0.06822840067954028
skinny,0.7225121990797334
matter,0.36476468308551274
maybe,0.20225842533359742
mind,0.5139914979230419
smile,0.5134780391194778
sex,0.0893536066379369
sadness,0.5645875139703127
for,-0.06487288535243935
afraid,0.17612469523870886
anymore,0.8593658006283099
inside,0.7321162083371382
haul,-0.3045022903796496
soon,-0.224369394190139
pretending,0.07858286153727488
hell,0.3060940070641948
school,-0.4191123029025448
omg,-0.5988355832265245
year,-0.01501517509485783
hate,0.6435408090343469
no,0.16870584909957076
head,0.3608463113261953
congrats,-0.04736714204861013
fail,0.16058407576371947
fun,-0.029208947553005273
ed,0.35753851641333245
alive,0.4931156168290592
be,0.05817671813797662
bad,0.24004050542711064
watch,-0.34289192098600063
videos,-0.8486668062490323
uber,-0.22298777118402707
sad,0.4900625138394513
editing,-0.12974298378332585
strong,0.6674664347429299
hurt,0.8929858499386091
wow,-0.20203919907716478
self,0.46449532669076166
spring,-0.16174198258176922
can,0.10498956171422572
game,-0.22344989010505548
out,-0.03981111693899556
vid,-0.03140860556553448
meet,-0.015487483496320738
apartment,-0.5005470330799974
day,-0.10787354995958916
try,0.001379934811287827
regret,0.5334785462599192
ahhh,-0.09265432126123305
home,-0.1716334568892089
sometimes,0.4778943916002374
care,0.7710076088639424
flight,-0.3511148129032811
dead,0.3992596664463959
wish,0.2875103786540354
cool,-0.0738725881835
eyes,0.25377173313756923
heart,0.005362720967610352
film,-0.2097275503124095
want,0.23357252589727565
suicidal,0.7537122566868708
scars,0.5873606305010293
away,0.10324719700268868
favorite,-0.22797827233996906
memories,0.2017942601612914
birthday,-0.5430401810389746
enough,0.5263633252180893
losing,0.2537911511260594
worthless,0.24980943018471163
